name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
"Decred Radio Advertising, 190+ FM and AM Stations, + Intl. Satellite",Free Talk Live,7fe5d07a4ffff7dc6a83383018823d880b1c1db0a29305e74934817cf2b4e2ce,3591,7276,10867,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,22750,3,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.265638368085262,33,52
Tantra Labs - Market Making Proposal,MM Tantra,82ce113827140caaaf8b5779ab30402d3ed39f1911fdd2e8fa64cf0dc9e09ecb,7190,7456,14646,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,100000,6,Marketmaking,FALSE,Rejected,Not a Contractor,External,pro rata,0,0.359234731420162,49.1,50
Decred Content Marketing with CriptoNoticias,CriptoNoticias,83b59ef5ab40193a86073abbd93cea13ed6d071eecc78918ab5cf98cba7c7a67,3804,8608,12412,2020-04-20 00:06:08,2020-04-27 20:37:19,40859,5900,2,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.303776401771947,30.6,10
Stable coin - USDD,USDD,85fc65cef080cfc3564906fd3d488b827d74fc99bb29143ed8aa6c400b765be9,NA,NA,NA,NA,NA,NA,1576000,48,Misc,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,9
RFP: Change the messaging on decred.org,RFP1: messaging,91beceac460d9b790a01fb2e537320820bab66babfeb5eb49a022ea5952b5d73,9963,1779,11742,2020-09-14 00:48:23,2020-09-21 20:51:05,41055,5000,0,RFP,FALSE,Approved,Contractor,Internal,NA,0,0.286006576543661,84.8,7
Content Production for Decred in russian,Russian Content,92e3f2176b332c1aea5887acd2324c2cd730ec450e563df52ddae9d5927d5d36,1766,6478,8244,2020-02-12 17:33:28,2020-02-20 18:08:20,40963,2000,2,Marketing,FALSE,Rejected,Not a Contractor,Internal,pro rata,0,0.201254790908869,21.4,10
Fiat Pairs integration on EXMO Exchange,EXMO exchange,950e8149e594b01c010c1199233ab11e82c9da39174ba375d286dc72bb0a54d7,5608,3392,9000,2019-04-19 05:43:46,2019-04-26 22:07:40,41606,23800,1,Integration,FALSE,Approved,Not a Contractor,External,fixed cost,0,0.21631495457386,62.3,25
Video Content Production for Decred,Exitus Video 1,95cfb73254a032b2c199c37bb499d6f172d044b1f38016279c5bbca6572251f0,9409,765,10174,2020-02-06 15:46:47,2020-02-14 16:45:52,40971,14400,6,Marketing,PARTIAL,Approved,Not a Contractor,Internal,pro rata,0,0.24832198384223,92.5,40
TV Marketing For Decred (DCR),TV Marketing,9eaafc20f206776e38642e272233390f351c5562c3835369a558cc7d7e341018,972,10994,11966,2020-06-14 21:19:45,2020-06-22 17:57:06,40918,110000,3,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.292438535607801,8.1,55
Proposed Statement Of Work (SOW) For Decred Blockchain Wallet Tutorial Campaign,Tutorial videos,a3def199af812b796887f4eae22e11e45f112b50c2e17252c60ed190933ec14f,7821,1997,9818,2019-02-21 22:44:06,2019-03-01 17:41:11,42060,750,1,Marketing,FALSE,Approved,Not a Contractor,Internal,fixed cost,0,0.233428435568236,79.7,37
Decentralized Exchange Specification Document,DEX Spec,a4f2a91c8589b2e5a955798d6c0f4f77f2eec13b62063c5f4102c21913dcaf32,12171,198,12369,2019-06-03 11:55:48,2019-06-11 10:47:29,41120,20000,2,Software Dev,FALSE,Approved,Contractor,Internal,NA,0,0.300802529182879,98.4,11
Decred Fundamental Metrics Research Proposal - Phase 2,Checkmate research 2,a677e236cb2e0fdd485980cd5d789e668d00fdc5235d01e7345d2195b8679066,7125,1674,8799,2020-02-12 17:33:28,2020-02-20 18:08:20,40963,17500,8,Research,FALSE,Approved,Contractor,Internal,pro rata,1,0.214803603251715,81,39
TinyDecred Budget,TinyDecred Development,ad0f9688b3467734e2581604914b2cc32c6eb7991dff460eff41d21f66d88451,11212,1962,13174,2019-12-02 14:31:50,2019-12-10 13:49:26,40399,30000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.326097180623283,85.1,19
Decred ATM Integration - Approval for Planning Phase,ATM RFP,aea224a561cfed183f514a9ac700d68ba8a6c71dfbee71208fb9bff5fffab51d,6696,6051,12747,2019-03-25 22:23:56,2019-04-02 22:50:52,40313,1000,1,RFP,FALSE,Rejected,Contractor,External,pro rata,0,0.31620072929328,52.5,39
A Journey to the Future of Work- Telling the DCR story through Politeia,Jeremy's Journey,b9f342a0f917abb7a2ab25d5ed0aca63c06fe6dcc9d09565a9cde3b6fe7e6737,8787,9284,18071,2019-05-21 18:12:30,2019-05-29 13:42:49,41203,2400,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.438584569084775,48.6,66
Decred integration into Crypto-ATMs,Bcash ATMs,bb7e19283d5c65fed598d5a2f4afcc2b5d2eab187b9cb84fc4304430f80b5ad1,1471,12504,13975,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,50000,2,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.341611870248601,10.5,34
Decred Brazil Marketing and Events Proposal,Brazil Marketing 1,bc20f986c3ea2fed2ea074c377a89f1a4b956ea0d527a8b6c099a5a8f175beb5,8916,4687,13603,2020-03-19 16:47:51,2020-03-27 17:35:30,40493,108000,10,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.335934605981281,65.5,66
Wachsman Communications Proposal for Decred,Wachsman,bc8776180b5ea8f5d19e7d08e9fcc35f0d1e3d16974963e3e5ded65139e7b092,7253,19030,26283,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,120000,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.641706137995019,27.6,73
High-Profile Billboard Marketing Campaign,Billboards,bce7bf3cd1f74d571d23ac8a330ddf29a14a547ed0cc9c995f1a97dce733d1e1,2156,10365,12521,2020-04-20 00:06:08,2020-04-27 20:37:19,40859,24450,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.306444112680193,17.2,26
PR Proposal for Decred by Monde Public Relations ,Monde PR 1,bdd02d82547bd78fc95939c1e2b3df21ebec6e8d31444df5bea3c133b0199f05,7253,2771,10024,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,21000,6,Marketing,FALSE,Approved,Not a Contractor,Internal,fixed cost,0,0.247805987491039,72.4,26
Decred Open Source Research,Research 1,c68bb790ba0843980bb9695de4628995e75e0d1f36c992951db49eca7b3b4bcd,23453,2574,26027,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,10000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,0,0.635455832804336,90.1,40
PR by Monde Public Relations - Phase Two,Monde PR 2,c81926b1958e54b2f294085da4ab03e9a63223f8ccd32e74a43493bf62de6185,9396,1015,10411,2020-07-21 21:30:26,2020-07-29 18:53:06,41181,42000,12,Marketing,FALSE,Approved,Contractor,Internal,fixed cost,1,0.252810762244724,90.3,21
US Marketing & Project Release Coordination 2020,US Marketing 2020,c830ea5afea45a0aabf4092d1bea51fb10b8bfa2d8474aac03224f0f94d3d1af,9372,3288,12660,2020-03-19 16:47:51,2020-03-27 17:35:30,40493,177800,12,Marketing,TRUE,Approved,Contractor,Internal,pro rata,1,0.312646630281777,74,58
2019 Marketing Plan Funding,2019 Marketing,c84a76685e4437a15760033725044a15ad832f68f9d123eb837337060a09f86e,12216,2571,14787,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,290000,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.351502329561662,82.6,68
Incrementalist Proposal as Small Step to Solving Decred's Liquidity Problem,MM betterfuture,c9604f7879e4b2cd4f2582d238a7ccea210005c63481bec1ddae44ff93e1340f,NA,NA,NA,NA,NA,NA,0,0,Marketmaking,FALSE,Abandoned,Not a Contractor,Internal,pro rata,0,NA,NA,15
Decentralize Treasury Spending,Treasury,c96290a2478d0a1916284438ea2c59a1215fe768a87648d04d45f6b7ecb82c3f,8958,231,9189,2019-05-05 23:51:34,2019-05-13 22:04:16,40837,250000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.225016529127997,97.5,43
Incentivizing BD Evangelists within the Decred Ecosystem,NA,cb446a469987d6603d93f442ef0d4e45bacbea47a72b5ce89f9c3cac3868d627,NA,NA,NA,NA,NA,NA,114000,12,Marketing,FALSE,Abandoned,Not a Contractor,External,NA,0,NA,NA,14
Smart Reach Partnership Proposal -- Jan 2019,NA,cf7143c93d35f886be03d749396e9202c7837a3d3cbbe876f93c3a7d18ec2028,NA,NA,NA,NA,NA,NA,0,0,Marketing,FALSE,Abandoned,Not a Contractor,External,NA,0,NA,NA,5
Decred Bug Bounty Proposal,Bug Bounty 1,d33a2667469b56942adf42453def6cc2292325251e4cf791e806939ea9efc9e1,11065,1186,12251,2018-12-19 22:30:17,2018-12-27 21:36:46,41028,5000,6,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.298600955445062,90.3,15
